,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,sentence
0,0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,mayasolovely woman shouldn complain cleaning house amp man take trash
1,1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,mleew boy dat cold tyga dwn bad cuffin dat hoe place
2,2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,urkindofbrand dawg sbaby life fuck bitch start cry confused shit
3,3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,anderson viva look tranny
4,4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shenikarobert shit hear true faker bitch tell
5,5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",madison shit blows claim faithful down somebody fucking hoe
6,6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",brighterday sit hate bitch shit
7,7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,selfiequeenbri cause tired big bitch come skinny girl
8,8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp bitch back amp that s
9,9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",rhythmixx hobby fight mariam bitch
10,10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walk conversation smh
11,11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
12,12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea
13,13,3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing
14,14,3,1,2,0,1,""" bitch get up off me """,bitch off
15,15,3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
16,16,3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
17,17,3,1,2,0,1,""" bitch who do you love """,bitch love
18,18,3,0,3,0,1,""" bitches get cut off everyday B """,bitch cut off everyday
19,19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
20,20,3,0,3,0,1,""" broke bitch cant tell me nothing """,break bitch can not tell nothing
21,21,3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch nino
22,22,3,0,3,0,1,""" cant you see these hoes wont change """,can not these hoe will not change
23,23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch do not suck dick kermit videos bout fuck
24,24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",bitch tip toe hardwood floor http cou
25,25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lip heaven door
26,26,3,0,3,0,1,""" hoe what its hitting for """,hoe hit
27,27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",meet pussy ocean pussy pill
28,28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,trippy bitch fuck hennessy
29,29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
30,30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
